"Agency","Product_ID","Client_ID","Sales_Amount","Sales"
"114","1012","2004",338,13383
"114","1016","2004",418,50165
"114","1017","2004",215,32007
"114","1018","2004",155,26467
"101","1002","2003",339,81380
"101","1004","2003",799,75676
"101","1007","2003",204,13238
"101","1008","2003",682,90657
"101","1016","2003",717,74721
"101","1017","2003",275,29053
"101","1018","2003",135,15841
"101","1002","2003",734,74680
"101","1004","2003",482,75968
"101","1007","2003",301,27187
"101","1008","2003",1158,179244
"101","1016","2003",947,69668
"101","1017","2003",506,46859
"101","1018","2003",180,15214
"101","1002","2003",657,71093
"101","1004","2003",551,99425
"101","1007","2003",174,17288
"101","1008","2003",1139,75429
"101","1016","2003",427,49104
"101","1017","2003",252,46012
"101","1018","2003",97,18168
"101","1002","2003",360,47654
"101","1004","2003",466,47162
"101","1007","2003",221,42798
"101","1008","2003",800,84926
"101","1016","2003",403,33449
"101","1017","2003",202,19612
"101","1018","2003",161,11240
"101","1002","2003",283,52898
"101","1004","2003",454,52390
"101","1007","2003",156,33666
"101","1008","2003",928,115293
"101","1016","2003",426,50058
"101","1017","2003",245,33896
"101","1018","2003",168,12496
"101","1002","2003",216,23835
"101","1004","2003",581,37202
"101","1007","2003",141,17831
"101","1008","2003",1238,103826
"101","1016","2003",408,58457
"101","1017","2003",179,37604
"101","1018","2003",93,10923
"101","1002","2003",246,26106
"101","1004","2003",305,34145
"101","1007","2003",98,11685
"101","1008","2003",1087,45145
"101","1016","2003",374,64279
"101","1017","2003",143,24017
"101","1018","2003",120,10003
"101","1002","2003",222,21823
"101","1004","2003",311,46761
"101","1007","2003",69,6669
"101","1008","2003",752,71192
"101","1016","2003",300,44415
"101","1017","2003",145,19663
"101","1018","2003",71,6705
"101","1002","2003",225,24810
"101","1004","2003",371,19715
"101","1007","2003",162,19779
"101","1008","2003",582,60861
"101","1016","2003",239,58338
"101","1017","2003",123,9387
"101","1018","2003",64,5234
"101","1002","2003",174,17785
"101","1004","2003",269,28022
"101","1007","2003",114,12814
"101","1008","2003",1398,93122
"101","1016","2003",372,20039
"101","1017","2003",272,30073
"101","1018","2003",84,7845
"101","1002","2003",371,32081
"101","1004","2003",445,35650
"101","1007","2003",112,18664
"101","1008","2003",1985,182595
"101","1016","2003",529,50978
"101","1017","2003",209,36508
"101","1018","2003",89,8330
"101","1002","2003",310,16853
"101","1004","2003",351,47274
"101","1007","2003",93,18877
"101","1008","2003",921,101068
"101","1016","2003",544,70431
"101","1017","2003",317,16235
"101","1018","2003",115,23084
"101","1002","2003",213,44663
"101","1004","2003",269,54609
"101","1007","2003",184,26915
"101","1008","2003",761,48236
"101","1016","2003",469,31088
"101","1017","2003",306,39250
"101","1018","2003",87,8753
"101","1002","2003",438,58485
"101","1004","2003",705,51044
"101","1007","2003",318,29560
"101","1008","2003",1968,112906
"101","1016","2003",378,70919
"101","1017","2003",339,19610
"101","1018","2003",148,21263
"101","1002","2003",308,66338
"101","1004","2003",710,59796
"101","1007","2003",228,41586
"101","1008","2003",1467,117606
"101","1016","2003",293,30850
"101","1017","2003",240,60224
"101","1018","2003",134,8010
"102","1003","2011",2546,175700
"102","1004","2011",3122,233424
"102","1011","2011",311,21591
"102","1015","2011",1451,196162
"103","1002","2006",1331,99114
"103","1007","2006",1568,201548
"103","1011","2006",1131,107359
"104","1007","2007",152,9993
"105","1002","2002",205,25340
"105","1004","2002",323,37462
"105","1007","2002",183,36487
"105","1008","2002",1046,101239
"105","1011","2002",141,14902
"105","1012","2002",274,15965
"105","1015","2002",129,9064
"105","1016","2002",168,11019
"105","1017","2002",179,25092
"105","1002","2002",328,44575
"105","1004","2002",479,55198
"105","1007","2002",335,21738
"105","1008","2002",1124,109594
"105","1011","2002",330,31420
"105","1015","2002",188,12203
"105","1016","2002",247,19970
"105","1017","2002",202,12268
"105","1002","2002",150,21529
"105","1004","2002",371,28611
"105","1007","2002",235,29839
"105","1008","2002",807,81905
"105","1011","2002",314,36883
"105","1012","2002",96,6061
"105","1015","2002",83,5150
"105","1016","2002",206,27821
"105","1017","2002",216,25859
"106","1002","2005",259,18208
"106","1004","2005",319,26051
"106","1007","2005",311,21770
"106","1008","2005",274,34092
"106","1011","2005",171,13143
"106","1012","2005",104,7603
"106","1015","2005",161,21699
"106","1016","2005",235,35378
"106","1017","2005",252,24759
"106","1002","2005",221,33858
"106","1004","2005",150,24076
"106","1007","2005",161,18777
"106","1008","2005",755,54252
"106","1011","2005",144,16410
"106","1012","2005",425,21599
"106","1015","2005",145,18577
"106","1016","2005",511,46280
"106","1017","2005",210,22317
"107","1002","2001",174,12735
"107","1004","2001",265,30813
"107","1007","2001",160,12812
"107","1008","2001",1184,86528
"107","1012","2001",55,3500
"107","1016","2001",739,99027
"107","1017","2001",478,44650
"107","1018","2001",299,42174
"107","1002","2001",7,1356
"107","1004","2001",359,44758
"107","1007","2001",219,13444
"107","1008","2001",619,58308
"107","1012","2001",133,6374
"107","1016","2001",584,59452
"107","1017","2001",174,26829
"107","1018","2001",157,9661
"107","1002","2001",180,12272
"107","1004","2001",270,19334
"107","1007","2001",191,27365
"107","1008","2001",822,93149
"107","1016","2001",131,22128
"107","1017","2001",75,16464
"107","1018","2001",136,10367
"107","1004","2001",121,10377
"107","1007","2001",170,17210
"107","1008","2001",671,63159
"107","1016","2001",265,34901
"107","1017","2001",46,3991
"107","1018","2001",149,11894
"107","1002","2001",228,26528
"107","1004","2001",260,28859
"107","1007","2001",165,9057
"107","1008","2001",975,129165
"107","1012","2001",5,276
"107","1016","2001",548,72953
"107","1017","2001",322,52699
"107","1018","2001",206,26282
"107","1002","2001",55,5177
"107","1004","2001",199,34638
"107","1007","2001",109,10545
"107","1008","2001",661,72394
"107","1012","2001",145,10669
"107","1016","2001",669,66491
"107","1017","2001",131,16353
"107","1018","2001",149,22133
"107","1004","2001",174,25035
"107","1007","2001",139,17001
"107","1008","2001",633,110094
"107","1012","2001",104,5375
"107","1016","2001",290,30815
"107","1017","2001",82,5334
"107","1018","2001",125,28961
"107","1004","2001",105,12651
"107","1007","2001",55,9522
"107","1008","2001",408,40093
"107","1012","2001",185,6205
"107","1016","2001",556,40064
"107","1017","2001",266,40164
"107","1018","2001",164,17393
"107","1002","2001",3,357
"107","1004","2001",95,12596
"107","1007","2001",37,3078
"107","1008","2001",438,53491
"107","1016","2001",257,19722
"107","1017","2001",89,7629
"107","1018","2001",149,15536
"107","1004","2001",242,31990
"107","1007","2001",41,3346
"107","1008","2001",597,70764
"107","1012","2001",20,1481
"107","1016","2001",184,24393
"107","1017","2001",17,2295
"107","1018","2001",24,3079
"108","1001","2009",137,21788
"108","1002","2009",234,29426
"108","1003","2009",176,17876
"108","1004","2009",354,29946
"108","1006","2009",306,59039
"108","1007","2009",73,6344
"108","1014","2009",1195,38253
"108","1018","2009",177,19215
"109","1002","2007",1059,99032
"109","1007","2007",1307,81965
"109","1011","2007",1041,80049
"110","1001","2010",109,13363
"110","1002","2010",87,7321
"110","1003","2010",127,13342
"110","1004","2010",70,5628
"110","1006","2010",536,105869
"110","1007","2010",112,4481
"110","1010","2010",319,29248
"110","1011","2010",490,37668
"110","1015","2010",224,9916
"111","1002","2008",294,28126
"111","1004","2008",282,21652
"111","1007","2008",190,19005
"111","1008","2008",510,32656
"111","1011","2008",365,23781
"111","1012","2008",385,23383
"111","1015","2008",95,11358
"111","1017","2008",222,45987
"111","1002","2008",330,36457
"111","1004","2008",140,15835
"111","1007","2008",178,18326
"111","1008","2008",966,91179
"111","1011","2008",81,9596
"111","1012","2008",134,9016
"111","1015","2008",105,8264
"111","1017","2008",247,29484
"111","1002","2008",190,19794
"111","1004","2008",88,13515
"111","1007","2008",142,20082
"111","1008","2008",432,44630
"111","1011","2008",119,18859
"111","1012","2008",129,7066
"111","1015","2008",15,1374
"111","1017","2008",162,16135
"111","1002","2008",376,44167
"111","1004","2008",356,29561
"111","1007","2008",218,22752
"111","1008","2008",447,63594
"111","1011","2008",133,20410
"111","1012","2008",130,7590
"111","1015","2008",13,2033
"111","1017","2008",371,19352
"111","1002","2008",176,17432
"111","1004","2008",275,28359
"111","1007","2008",117,11007
"111","1008","2008",457,39083
"111","1011","2008",65,7881
"111","1012","2008",101,3143
"111","1015","2008",67,5874
"111","1017","2008",178,19963
"113","1008","2004",0,0
"114","1002","2004",272,59480
"114","1004","2004",515,51615
"114","1008","2004",1188,136699
"114","1012","2004",159,9088
"114","1016","2004",665,45341
"114","1017","2004",329,35192
"114","1018","2004",319,21395
"114","1002","2004",232,34678
"114","1004","2004",194,30780
"114","1008","2004",976,62009
"114","1012","2004",251,9227
"114","1016","2004",273,45687
"114","1017","2004",277,20383
"114","1018","2004",229,15417
"114","1002","2004",168,28539
"114","1004","2004",176,17328
"114","1008","2004",720,64575
"114","1012","2004",155,8826
"114","1016","2004",235,39718
"114","1017","2004",174,14419
"114","1018","2004",205,17309
"114","1002","2004",199,40273
"114","1004","2004",267,19635
"114","1008","2004",780,80354
"114","1012","2004",164,10042
"114","1016","2004",260,45998
"114","1017","2004",168,21653
"114","1018","2004",151,20400
"101","1002","2003",506,53989
"101","1004","2003",509,45333
"101","1007","2003",115,9957
"101","1008","2003",587,76395
"101","1016","2003",600,44748
"101","1017","2003",162,17046
"101","1018","2003",71,8821
"101","1002","2003",651,73717
"101","1004","2003",622,96082
"101","1007","2003",355,16286
"101","1008","2003",1407,168505
"101","1016","2003",938,62531
"101","1017","2003",417,40072
"101","1018","2003",175,11271
"101","1002","2003",784,69285
"101","1004","2003",670,64550
"101","1007","2003",192,22576
"101","1008","2003",892,138224
"101","1016","2003",516,80751
"101","1017","2003",343,38211
"101","1018","2003",150,14206
"101","1002","2003",345,57289
"101","1004","2003",453,49406
"101","1007","2003",282,27086
"101","1008","2003",1335,127095
"101","1016","2003",341,23956
"101","1017","2003",240,19441
"101","1018","2003",163,15181
"101","1002","2003",329,30786
"101","1004","2003",566,63925
"101","1007","2003",257,28023
"101","1008","2003",830,105996
"101","1016","2003",390,34674
"101","1017","2003",256,26750
"101","1018","2003",168,21167
"101","1002","2003",385,56788
"101","1004","2003",523,60326
"101","1007","2003",157,15454
"101","1008","2003",1522,168431
"101","1016","2003",392,33606
"101","1017","2003",283,27846
"101","1018","2003",127,12292
"101","1002","2003",170,36199
"101","1004","2003",373,46093
"101","1007","2003",133,12619
"101","1008","2003",577,79076
"101","1016","2003",430,45230
"101","1017","2003",175,31333
"101","1018","2003",112,13422
"101","1002","2003",129,19706
"101","1004","2003",291,25185
"101","1007","2003",72,3491
"101","1008","2003",702,89441
"101","1016","2003",392,47217
"101","1017","2003",120,26936
"101","1018","2003",90,5440
"101","1002","2003",156,22159
"101","1004","2003",288,17545
"101","1007","2003",96,12528
"101","1008","2003",626,65467
"101","1016","2003",314,17870
"101","1017","2003",121,11614
"101","1018","2003",27,3708
"101","1002","2003",240,29546
"101","1004","2003",293,34909
"101","1007","2003",167,12407
"101","1008","2003",944,52704
"101","1016","2003",353,46892
"101","1017","2003",157,26330
"101","1018","2003",99,12121
"101","1002","2003",372,31446
"101","1004","2003",583,43748
"101","1007","2003",108,17980
"101","1008","2003",2456,210600
"101","1016","2003",416,31124
"101","1017","2003",287,23406
"101","1018","2003",123,9796
"101","1002","2003",259,24739
"101","1004","2003",275,64835
"101","1007","2003",180,16688
"101","1008","2003",844,167005
"101","1016","2003",311,42343
"101","1017","2003",214,27402
"101","1018","2003",84,11591
"101","1002","2003",309,35073
"101","1004","2003",356,50643
"101","1007","2003",235,21211
"101","1008","2003",1009,111213
"101","1016","2003",412,40092
"101","1017","2003",308,24147
"101","1018","2003",92,7790
"101","1002","2003",367,49376
"101","1004","2003",460,90480
"101","1007","2003",411,30198
"101","1008","2003",1622,187758
"101","1016","2003",361,46723
"101","1017","2003",218,43053
"101","1018","2003",150,13095
"101","1002","2003",351,39802
"101","1004","2003",505,65548
"101","1007","2003",284,27484
"101","1008","2003",1741,167644
"101","1016","2003",396,42194
"101","1017","2003",365,22374
"101","1018","2003",85,14217
"102","1003","2011",1698,96987
"102","1004","2011",2542,254568
"102","1011","2011",838,44151
"102","1015","2011",1894,150629
"103","1002","2006",1873,147997
"103","1007","2006",1001,138901
"103","1011","2006",871,78241
"104","1007","2007",313,21401
"104","1011","2007",204,8989
"104","1015","2007",46,6222
"105","1002","2002",90,18792
"105","1004","2002",295,23022
"105","1007","2002",316,24615
"105","1008","2002",801,81266
"105","1011","2002",192,20954
"105","1012","2002",533,22068
"105","1015","2002",97,9763
"105","1016","2002",64,12779
"105","1017","2002",158,13978
"105","1002","2002",358,37043
"105","1004","2002",426,51377
"105","1007","2002",153,15129
"105","1008","2002",626,94612
"105","1011","2002",243,30568
"105","1015","2002",72,8060
"105","1016","2002",276,41781
"105","1017","2002",140,13670
"105","1002","2002",199,29871
"105","1004","2002",193,28527
"105","1007","2002",206,25901
"105","1008","2002",579,80817
"105","1011","2002",262,29328
"105","1012","2002",97,7761
"105","1015","2002",106,10983
"105","1016","2002",201,11067
"105","1017","2002",149,14497
"106","1002","2005",246,31576
"106","1004","2005",206,24115
"106","1007","2005",294,26246
"106","1008","2005",356,31917
"106","1011","2005",140,11763
"106","1012","2005",168,9803
"106","1015","2005",183,24652
"106","1016","2005",311,23947
"106","1017","2005",293,19446
"106","1002","2005",231,27278
"106","1004","2005",198,32335
"106","1007","2005",177,18304
"106","1008","2005",461,70689
"106","1011","2005",172,20508
"106","1012","2005",178,10594
"106","1015","2005",182,18560
"106","1016","2005",496,36279
"106","1017","2005",326,22620
"107","1002","2001",280,27724
"107","1004","2001",341,38001
"107","1007","2001",131,21933
"107","1008","2001",1403,121671
"107","1012","2001",315,12048
"107","1016","2001",858,67852
"107","1017","2001",565,77493
"107","1018","2001",288,53339
"107","1004","2001",395,58961
"107","1007","2001",164,33957
"107","1008","2001",869,101595
"107","1012","2001",282,21738
"107","1016","2001",457,45983
"107","1017","2001",274,18405
"107","1018","2001",264,33216
"107","1002","2001",252,35006
"107","1004","2001",481,36224
"107","1007","2001",181,17757
"107","1008","2001",1219,80323
"107","1016","2001",259,28496
"107","1017","2001",268,25227
"107","1018","2001",174,16326
"107","1004","2001",184,24325
"107","1007","2001",136,21192
"107","1008","2001",559,101281
"107","1012","2001",62,5328
"107","1016","2001",328,47917
"107","1017","2001",221,19142
"107","1018","2001",199,20134
"107","1002","2001",206,24148
"107","1004","2001",230,39776
"107","1007","2001",128,22921
"107","1008","2001",623,56085
"107","1012","2001",23,1090
"107","1016","2001",345,40844
"107","1017","2001",298,48121
"107","1018","2001",210,31456
"107","1002","2001",115,11552
"107","1004","2001",161,24608
"107","1007","2001",223,26131
"107","1008","2001",761,117031
"107","1012","2001",173,11339
"107","1016","2001",406,39285
"107","1017","2001",253,29775
"107","1018","2001",221,23053
"107","1004","2001",314,19118
"107","1007","2001",274,30077
"107","1008","2001",569,68552
"107","1012","2001",262,17409
"107","1016","2001",320,30490
"107","1017","2001",353,30960
"107","1018","2001",225,31637
"107","1004","2001",211,16446
"107","1007","2001",103,13200
"107","1008","2001",543,56508
"107","1012","2001",352,24298
"107","1016","2001",631,68137
"107","1017","2001",313,34851
"107","1018","2001",286,22340
"107","1004","2001",164,16959
"107","1007","2001",97,7801
"107","1008","2001",291,23512
"107","1016","2001",214,48955
"107","1017","2001",186,21365
"107","1018","2001",142,20098
"107","1004","2001",130,17546
"107","1007","2001",48,9498
"107","1008","2001",572,44597
"107","1012","2001",33,1265
"107","1016","2001",165,28812
"107","1017","2001",174,15399
"107","1018","2001",91,6417
"108","1001","2009",117,42003
"108","1002","2009",397,38880
"108","1003","2009",163,17828
"108","1004","2009",383,29628
"108","1006","2009",189,71981
"108","1007","2009",76,5496
"108","1014","2009",1125,70927
"108","1018","2009",250,22831
"109","1002","2007",1018,118743
"109","1007","2007",597,78286
"109","1011","2007",673,36547
"110","1001","2010",127,32436
"110","1002","2010",183,21919
"110","1003","2010",52,2037
"110","1004","2010",360,28969
"110","1006","2010",496,142018
"110","1007","2010",149,7157
"110","1010","2010",358,21192
"110","1011","2010",726,47193
"110","1015","2010",207,10644
"111","1002","2008",349,44643
"111","1004","2008",274,27702
"111","1007","2008",290,33507
"111","1008","2008",344,64923
"111","1011","2008",208,19839
"111","1012","2008",442,20274
"111","1015","2008",100,11389
"111","1017","2008",270,15322
"111","1002","2008",305,17987
"111","1004","2008",122,19694
"111","1007","2008",223,33651
"111","1008","2008",900,69228
"111","1011","2008",82,7103
"111","1012","2008",65,2674
"111","1015","2008",96,10309
"111","1017","2008",184,16600
"111","1002","2008",278,23436
"111","1004","2008",114,24197
"111","1007","2008",137,17306
"111","1008","2008",211,42603
"111","1011","2008",112,14003
"111","1012","2008",172,17416
"111","1015","2008",54,3924
"111","1017","2008",195,24145
"111","1002","2008",375,55594
"111","1004","2008",190,19028
"111","1007","2008",161,23550
"111","1008","2008",826,40530
"111","1011","2008",105,10711
"111","1012","2008",137,12108
"111","1015","2008",29,3147
"111","1017","2008",341,24295
"111","1002","2008",217,16607
"111","1004","2008",75,9268
"111","1007","2008",101,11174
"111","1008","2008",391,84400
"111","1011","2008",69,6099
"111","1012","2008",44,3387
"111","1015","2008",73,8305
"111","1017","2008",178,19184
"112","1018","2012",3974,286753
"113","1008","2004",3,271
"114","1002","2004",358,26425
"114","1004","2004",484,35167
"114","1008","2004",1662,121378
"114","1012","2004",336,15786
"114","1016","2004",674,78126
"114","1017","2004",183,28208
"114","1018","2004",174,37557
"114","1002","2004",195,33962
"114","1004","2004",285,42320
"114","1008","2004",361,51923
"114","1012","2004",246,15916
"114","1016","2004",424,36245
"114","1017","2004",238,37223
"114","1018","2004",237,23022
"114","1002","2004",181,20251
"114","1004","2004",211,16648
"114","1008","2004",492,83626
"114","1012","2004",285,12724
"114","1016","2004",178,34464
"114","1017","2004",138,15581
"114","1018","2004",157,19037
